category,headline,url
ENVIRONMENT,Season's 1st tropical storm forms in eastern Pacific,http://www.foxnews.com/world/2018/06/06/seasons-1st-tropical-storm-forms-in-eastern-pacific.html
ENVIRONMENT,New evacuations near Guatemala volcano set off panic,http://www.foxnews.com/world/2018/06/06/new-evacuations-near-guatemala-volcano-set-off-panic.html
ENVIRONMENT,Forecasters say hurricane to form off Mexico's Pacific coast,http://www.foxnews.com/world/2018/06/05/forecasters-say-hurricane-to-form-off-mexicos-pacific-coast.html
ASIA,Sherpa feared dead on Mount Everest following ASKfm's cryptocurrency publicity stunt,http://www.foxnews.com/world/2018/06/05/sherpa-feared-dead-on-mount-everest-following-askfms-cryptocurrency-publicity-stunt.html
ENVIRONMENT,"The Latest: Guatemala volcano still rumbling, spewing ash",http://www.foxnews.com/world/2018/06/05/latest-guatemala-volcano-still-rumbling-spewing-ash.html
ENVIRONMENT,Forest fire raging in Sweden prompts evacuations,http://www.foxnews.com/world/2018/06/05/forest-fire-raging-in-sweden-prompts-evacuations.html
ENVIRONMENT,"UN: Plastic bans can work, but need planning and enforcement",http://www.foxnews.com/world/2018/06/05/un-plastic-bans-can-work-but-need-planning-and-enforcement.html
ENVIRONMENT,Orangutan forest logged despite Indonesia gov't vow,http://www.foxnews.com/world/2018/06/05/orangutan-forest-logged-despite-indonesia-govt-vow.html
ENVIRONMENT,Only a few of Guatemala volcano's dead have been identified,http://www.foxnews.com/world/2018/06/05/only-few-guatemala-volcanos-dead-have-been-identified.html
ENVIRONMENT,Congo's Virunga park to remain closed after deadly attacks,http://www.foxnews.com/world/2018/06/04/congos-virunga-park-to-remain-closed-after-deadly-attacks.html
ENVIRONMENT,"In India, a trio of unlikely heroes wages war on plastic",http://www.foxnews.com/world/2018/06/04/in-india-trio-unlikely-heroes-wages-war-on-plastic.html
ENVIRONMENT,Israel to deduct from Palestinian funds for arson damages,http://www.foxnews.com/world/2018/06/04/israel-to-deduct-from-palestinian-funds-for-arson-damages.html
ENVIRONMENT,The Latest: Death toll 25 in Guatemala volcano eruption,http://www.foxnews.com/world/2018/06/04/latest-death-toll-25-in-guatemala-volcano-eruption.html
ENVIRONMENT,The Latest: 6 people killed by erupting volcano in Guatemala,http://www.foxnews.com/world/2018/06/03/latest-6-people-killed-by-erupting-volcano-in-guatemala.html
ENVIRONMENT,Guatemala volcano blankets nearby villages with ash,http://www.foxnews.com/world/2018/06/03/guatemala-volcano-blankets-nearby-villages-with-ash.html
ENVIRONMENT,Cosmetics firm Lush criticized over 'police spies' campaign,http://www.foxnews.com/world/2018/06/01/cosmetics-firm-lush-criticized-over-police-spies-campaign.html
ENVIRONMENT,"As storm season starts, AP photographer revisits Puerto Rico",http://www.foxnews.com/world/2018/06/01/as-storm-season-starts-ap-photographer-revisits-puerto-rico.html
ENVIRONMENT,Indonesia's Merapi volcano ejects towering column of ash,http://www.foxnews.com/world/2018/05/31/indonesias-merapi-volcano-ejects-towering-column-ash.html
ENVIRONMENT,"Africa's mountain gorilla population now exceeds 1,000",http://www.foxnews.com/world/2018/05/31/africas-mountain-gorilla-population-now-exceeds-1000.html
ENVIRONMENT,Hamburg becomes 1st German city to impose limited diesel ban,http://www.foxnews.com/world/2018/05/31/hamburg-becomes-1st-german-city-to-impose-limited-diesel-ban.html
ENVIRONMENT,Temperatures in Europe's far north set records for May,http://www.foxnews.com/world/2018/05/31/temperatures-in-europes-far-north-set-records-for-may.html
ENVIRONMENT,Puerto Rico grid 'teetering' despite $3.8 billion repair job,http://www.foxnews.com/world/2018/05/31/puerto-rico-grid-teetering-despite-3-8-billion-repair-job.html
ENVIRONMENT,Pompeii: New find shows man crushed trying to flee eruption,http://www.foxnews.com/world/2018/05/29/pompeii-new-find-shows-man-crushed-trying-to-flee-eruption.html
